date [PST],temperature [C]
2018-08-20 0:00,22.31
2018-08-20 1:00,22.29
2018-08-20 2:00,22.24
2018-08-20 3:00,22.18
2018-08-20 4:00,22.13
2018-08-20 5:00,22.06
2018-08-20 6:00,22.02
2018-08-20 7:00,22
2018-08-20 8:00,21.94
2018-08-20 9:00,21.84
2018-08-20 10:00,21.79
2018-08-20 11:00,21.84
2018-08-20 12:00,21.87
2018-08-20 13:00,21.95
2018-08-20 14:00,22.01
2018-08-20 15:00,22.09
2018-08-20 16:00,22.12
2018-08-20 17:00,22.15
2018-08-20 18:00,22.18
2018-08-20 19:00,22.18
2018-08-20 20:00,22.21
2018-08-20 21:00,22.23
2018-08-20 22:00,22.26
2018-08-20 23:00,22.26
2018-08-21 0:00,22.26
2018-08-21 1:00,22.22
2018-08-21 2:00,22.16
2018-08-21 3:00,22.07
2018-08-21 4:00,21.97
2018-08-21 5:00,21.88
2018-08-21 6:00,21.82
2018-08-21 7:00,21.81
2018-08-21 8:00,21.82
2018-08-21 9:00,21.83
2018-08-21 10:00,21.87
2018-08-21 11:00,21.9
2018-08-21 12:00,21.96
2018-08-21 13:00,22.03
2018-08-21 14:00,22.16
2018-08-21 15:00,22.23
2018-08-21 16:00,22.31
2018-08-21 17:00,22.32
2018-08-21 18:00,22.31
2018-08-21 19:00,22.31
2018-08-21 20:00,22.27
2018-08-21 21:00,22.28
2018-08-21 22:00,22.26
2018-08-21 23:00,22.2
2018-08-22 0:00,22.1
2018-08-22 1:00,22
2018-08-22 2:00,21.91
2018-08-22 3:00,21.79
2018-08-22 4:00,21.66
2018-08-22 5:00,21.57
2018-08-22 6:00,21.48
2018-08-22 7:00,21.41
2018-08-22 8:00,21.41
2018-08-22 9:00,21.41
2018-08-22 10:00,21.45
2018-08-22 11:00,21.53
2018-08-22 12:00,21.67
2018-08-22 13:00,21.82
2018-08-22 14:00,21.99
2018-08-22 15:00,22.17
2018-08-22 16:00,22.3
2018-08-22 17:00,22.39
2018-08-22 18:00,22.42
2018-08-22 19:00,22.38
2018-08-22 20:00,22.36
2018-08-22 21:00,22.37
2018-08-22 22:00,22.4
2018-08-22 23:00,22.3
2018-08-23 0:00,22.18
2018-08-23 1:00,22.17
2018-08-23 2:00,22.06
2018-08-23 3:00,21.97
2018-08-23 4:00,21.91
2018-08-23 5:00,21.83
2018-08-23 6:00,21.74
2018-08-23 7:00,21.7
2018-08-23 8:00,21.67
2018-08-23 9:00,21.62
2018-08-23 10:00,21.67
2018-08-23 11:00,21.66
2018-08-23 12:00,21.72
2018-08-23 13:00,21.74
2018-08-23 14:00,21.79
2018-08-23 15:00,21.84
2018-08-23 16:00,21.97
2018-08-23 17:00,22.02
2018-08-23 18:00,22.01
2018-08-23 19:00,21.97
2018-08-23 20:00,21.94
2018-08-23 21:00,21.91
2018-08-23 22:00,21.9
2018-08-23 23:00,21.84
2018-08-24 0:00,21.71
2018-08-24 1:00,21.63
2018-08-24 2:00,21.54
2018-08-24 3:00,21.44
2018-08-24 4:00,21.38
2018-08-24 5:00,21.34
2018-08-24 6:00,21.33
2018-08-24 7:00,21.31
2018-08-24 8:00,21.3
2018-08-24 9:00,21.25
2018-08-24 10:00,21.19
2018-08-24 11:00,21.16
2018-08-24 12:00,21.25
2018-08-24 13:00,21.26
2018-08-24 14:00,21.31
2018-08-24 15:00,21.41
2018-08-24 16:00,21.49
2018-08-24 17:00,21.55
2018-08-24 18:00,21.58
2018-08-24 19:00,21.58
2018-08-24 20:00,21.59
2018-08-24 21:00,21.56
2018-08-24 22:00,21.52
2018-08-24 23:00,21.44
2018-08-25 0:00,21.35
2018-08-25 1:00,21.27
2018-08-25 2:00,21.15
2018-08-25 3:00,21.04
2018-08-25 4:00,20.95
2018-08-25 5:00,20.89
2018-08-25 6:00,20.85
2018-08-25 7:00,20.81
2018-08-25 8:00,20.79
2018-08-25 9:00,20.82
2018-08-25 10:00,20.79
2018-08-25 11:00,20.77
2018-08-25 12:00,20.83
2018-08-25 13:00,20.98
2018-08-25 14:00,21.08
2018-08-25 15:00,21.16
2018-08-25 16:00,21.18
2018-08-25 17:00,21.21
2018-08-25 18:00,21.26
2018-08-25 19:00,21.29
2018-08-25 20:00,21.3
2018-08-25 21:00,21.27
2018-08-25 22:00,21.23
2018-08-25 23:00,21.21
2018-08-26 0:00,21.18
2018-08-26 1:00,21.09
2018-08-26 2:00,20.96
2018-08-26 3:00,20.86
2018-08-26 4:00,20.82
2018-08-26 5:00,20.79
2018-08-26 6:00,20.78
2018-08-26 7:00,20.77
2018-08-26 8:00,20.76
2018-08-26 9:00,20.74
2018-08-26 10:00,20.7
2018-08-26 11:00,20.67
2018-08-26 12:00,20.67
2018-08-26 13:00,20.68
2018-08-26 14:00,20.7
2018-08-26 15:00,20.74
2018-08-26 16:00,20.74
2018-08-26 17:00,20.74
2018-08-26 18:00,20.71
2018-08-26 19:00,20.68
2018-08-26 20:00,20.64
2018-08-26 21:00,20.61
2018-08-26 22:00,20.58
2018-08-26 23:00,20.54
2018-08-27 0:00,20.5
2018-08-27 1:00,20.46
2018-08-27 2:00,20.42
2018-08-27 3:00,20.37
2018-08-27 4:00,20.33
2018-08-27 5:00,20.28
2018-08-27 6:00,20.26
2018-08-27 7:00,20.24
2018-08-27 8:00,20.25
2018-08-27 9:00,20.29
2018-08-27 10:00,20.29
2018-08-27 11:00,20.35
2018-08-27 12:00,20.49
2018-08-27 13:00,20.67
2018-08-27 14:00,20.77
2018-08-27 15:00,20.92
2018-08-27 16:00,21.03
2018-08-27 17:00,21.12
2018-08-27 18:00,21.13
2018-08-27 19:00,21.11
2018-08-27 20:00,21.1
2018-08-27 21:00,21.07
2018-08-27 22:00,21.01
2018-08-27 23:00,20.92
2018-08-28 0:00,20.91
2018-08-28 1:00,20.91
2018-08-28 2:00,20.86
2018-08-28 3:00,20.76
2018-08-28 4:00,20.67
2018-08-28 5:00,20.57
2018-08-28 6:00,20.5
2018-08-28 7:00,20.44
2018-08-28 8:00,20.41
2018-08-28 9:00,20.43
2018-08-28 10:00,20.48
2018-08-28 11:00,20.52
2018-08-28 12:00,20.58
2018-08-28 13:00,20.7
2018-08-28 14:00,20.86
2018-08-28 15:00,20.97
2018-08-28 16:00,21.06
2018-08-28 17:00,21.15
2018-08-28 18:00,21.16
2018-08-28 19:00,21.13
2018-08-28 20:00,21.1
2018-08-28 21:00,21.09
2018-08-28 22:00,21.05
2018-08-28 23:00,20.97
2018-08-29 0:00,20.91
2018-08-29 1:00,20.9
2018-08-29 2:00,20.88
2018-08-29 3:00,20.81
2018-08-29 4:00,20.69
2018-08-29 5:00,20.59
2018-08-29 6:00,20.51
2018-08-29 7:00,20.45
2018-08-29 8:00,20.44
2018-08-29 9:00,20.44
2018-08-29 10:00,20.47
2018-08-29 11:00,20.59
2018-08-29 12:00,20.73
2018-08-29 13:00,20.91
2018-08-29 14:00,21.05
2018-08-29 15:00,21.23
2018-08-29 16:00,21.34
2018-08-29 17:00,21.37
2018-08-29 18:00,21.37
2018-08-29 19:00,21.34
2018-08-29 20:00,21.29
2018-08-29 21:00,21.25
2018-08-29 22:00,21.17
2018-08-29 23:00,21.11
2018-08-30 0:00,21.05
2018-08-30 1:00,21.02
2018-08-30 2:00,20.95
2018-08-30 3:00,20.87
2018-08-30 4:00,20.84
2018-08-30 5:00,20.84
2018-08-30 6:00,20.75
2018-08-30 7:00,20.68
2018-08-30 8:00,20.6
2018-08-30 9:00,20.59
2018-08-30 10:00,20.59
2018-08-30 11:00,20.6
2018-08-30 12:00,20.65
2018-08-30 13:00,20.72
2018-08-30 14:00,20.77
2018-08-30 15:00,20.82
2018-08-30 16:00,20.88
2018-08-30 17:00,20.97
2018-08-30 18:00,21.02
2018-08-30 19:00,21.03
2018-08-30 20:00,21.02
2018-08-30 21:00,21.01
2018-08-30 22:00,20.96
2018-08-30 23:00,20.94
2018-08-31 0:00,20.88
2018-08-31 1:00,20.83
2018-08-31 2:00,20.77
2018-08-31 3:00,20.64
2018-08-31 4:00,20.54
2018-08-31 5:00,20.53
2018-08-31 6:00,20.52
2018-08-31 7:00,20.5
2018-08-31 8:00,20.47
2018-08-31 9:00,20.49
2018-08-31 10:00,20.53
2018-08-31 11:00,20.59
2018-08-31 12:00,20.68
2018-08-31 13:00,20.76
2018-08-31 14:00,20.84
2018-08-31 15:00,20.98
2018-08-31 16:00,21.11
2018-08-31 17:00,21.16
2018-08-31 18:00,21.17
2018-08-31 19:00,21.14
2018-08-31 20:00,21.12
2018-08-31 21:00,21.09
2018-08-31 22:00,21.06
2018-08-31 23:00,20.97
2018-09-01 0:00,20.88
2018-09-01 1:00,20.76
2018-09-01 2:00,20.66
2018-09-01 3:00,20.62
2018-09-01 4:00,20.54
2018-09-01 5:00,20.38
2018-09-01 6:00,20.24
2018-09-01 7:00,20.18
2018-09-01 8:00,20.17
2018-09-01 9:00,20.21
2018-09-01 10:00,20.25
2018-09-01 11:00,20.25
2018-09-01 12:00,20.27
2018-09-01 13:00,20.32
2018-09-01 14:00,20.44
2018-09-01 15:00,20.54
2018-09-01 16:00,20.61
2018-09-01 17:00,20.65
2018-09-01 18:00,20.65
2018-09-01 19:00,20.63
2018-09-01 20:00,20.61
2018-09-01 21:00,20.57
2018-09-01 22:00,20.55
2018-09-01 23:00,20.56
2018-09-02 0:00,20.45
2018-09-02 1:00,20.42
2018-09-02 2:00,20.4
2018-09-02 3:00,20.37
2018-09-02 4:00,20.3
2018-09-02 5:00,20.21
2018-09-02 6:00,20.16
2018-09-02 7:00,20.16
2018-09-02 8:00,20.15
2018-09-02 9:00,20.17
2018-09-02 10:00,20.16
2018-09-02 11:00,20.2
2018-09-02 12:00,20.31
2018-09-02 13:00,20.39
2018-09-02 14:00,20.5
2018-09-02 15:00,20.55
2018-09-02 16:00,20.59
2018-09-02 17:00,20.62
2018-09-02 18:00,20.63
2018-09-02 19:00,20.6
2018-09-02 20:00,20.58
2018-09-02 21:00,20.55
2018-09-02 22:00,20.52
2018-09-02 23:00,20.51
2018-09-03 0:00,20.5
2018-09-03 1:00,20.4
2018-09-03 2:00,20.39
2018-09-03 3:00,20.36
2018-09-03 4:00,20.31
2018-09-03 5:00,20.25
2018-09-03 6:00,20.18
2018-09-03 7:00,20.12
2018-09-03 8:00,20.13
2018-09-03 9:00,20.12
2018-09-03 10:00,20.07
2018-09-03 11:00,20.07
2018-09-03 12:00,20.12
2018-09-03 13:00,20.2
2018-09-03 14:00,20.29
2018-09-03 15:00,20.33
2018-09-03 16:00,20.31
2018-09-03 17:00,20.24
2018-09-03 18:00,20.24
2018-09-03 19:00,20.22
2018-09-03 20:00,20.2
2018-09-03 21:00,20.2
2018-09-03 22:00,20.2
2018-09-03 23:00,20.18
2018-09-04 0:00,20.14
2018-09-04 1:00,20.12
2018-09-04 2:00,20.08
2018-09-04 3:00,20.05
2018-09-04 4:00,20
2018-09-04 5:00,19.93
2018-09-04 6:00,19.89
2018-09-04 7:00,19.81
2018-09-04 8:00,19.69
2018-09-04 9:00,19.64
2018-09-04 10:00,19.65
2018-09-04 11:00,19.68
2018-09-04 12:00,19.75
2018-09-04 13:00,19.84
2018-09-04 14:00,19.96
2018-09-04 15:00,20.03
2018-09-04 16:00,20.12
2018-09-04 17:00,20.11
2018-09-04 18:00,20.1
2018-09-04 19:00,20.09
2018-09-04 20:00,20.12
2018-09-04 21:00,20.19
2018-09-04 22:00,20.23
2018-09-04 23:00,20.23
2018-09-05 0:00,20.22
2018-09-05 1:00,20.19
2018-09-05 2:00,20.15
2018-09-05 3:00,20.11
2018-09-05 4:00,20.08
2018-09-05 5:00,20.01
2018-09-05 6:00,19.96
2018-09-05 7:00,19.91
2018-09-05 8:00,19.85
2018-09-05 9:00,19.76
2018-09-05 10:00,19.74
2018-09-05 11:00,19.8
2018-09-05 12:00,19.85
2018-09-05 13:00,19.93
2018-09-05 14:00,19.98
2018-09-05 15:00,20.08
2018-09-05 16:00,20.17
2018-09-05 17:00,20.15
2018-09-05 18:00,20.1
2018-09-05 19:00,20.02
2018-09-05 20:00,19.98
2018-09-05 21:00,20.01
2018-09-05 22:00,20.06
2018-09-05 23:00,20.09
2018-09-06 0:00,20.09
2018-09-06 1:00,20.09
2018-09-06 2:00,20.06
2018-09-06 3:00,20.05
2018-09-06 4:00,19.97
2018-09-06 5:00,19.89
2018-09-06 6:00,19.84
2018-09-06 7:00,19.75
2018-09-06 8:00,19.71
2018-09-06 9:00,19.73
2018-09-06 10:00,19.72
2018-09-06 11:00,19.73
2018-09-06 12:00,19.8
2018-09-06 13:00,19.91
2018-09-06 14:00,20.03
2018-09-06 15:00,20.08
2018-09-06 16:00,20.1
2018-09-06 17:00,20.17
2018-09-06 18:00,20.18
2018-09-06 19:00,20.12
2018-09-06 20:00,20.05
2018-09-06 21:00,20.02
2018-09-06 22:00,20.08
2018-09-06 23:00,20.14
2018-09-07 0:00,20.13
2018-09-07 1:00,20.13
2018-09-07 2:00,20.11
2018-09-07 3:00,20.07
2018-09-07 4:00,20.03
2018-09-07 5:00,20.09
2018-09-07 6:00,19.96
2018-09-07 7:00,19.87
2018-09-07 8:00,19.8
2018-09-07 9:00,19.78
2018-09-07 10:00,19.81
2018-09-07 11:00,19.85
2018-09-07 12:00,19.93
2018-09-07 13:00,20
2018-09-07 14:00,20.15
2018-09-07 15:00,20.21
2018-09-07 16:00,20.28
2018-09-07 17:00,20.28
2018-09-07 18:00,20.27
2018-09-07 19:00,20.21
2018-09-07 20:00,20.18
2018-09-07 21:00,20.16
2018-09-07 22:00,20.18
2018-09-07 23:00,20.29
